datetime;close;high;low;open
2018-08-17 13:20:00;216.298;216.52;216.23;216.4
2018-08-17 13:30:00;216.43400000000003;216.56;216.25;216.29
2018-08-17 13:40:00;216.32;216.54;216.28;216.421
2018-08-17 13:50:00;216.73;216.82;216.29;216.31099999999998
2018-08-17 14:00:00;217.42;217.55;216.66;216.733
2018-08-17 14:10:00;217.285;217.55;217.17;217.43
2018-08-17 14:20:00;217.292;217.46;217.2;217.29
2018-08-17 14:30:00;216.98;217.4;216.877;217.29
2018-08-17 14:40:00;217.139;217.21;216.88;217.0
2018-08-17 14:50:00;217.42;217.495;190.98;217.12
2018-08-17 15:00:00;217.16;217.415;217.14;217.33
2018-08-17 15:10:00;217.15;217.26;216.95;217.16
2018-08-17 15:20:00;217.1;217.23;217.07;217.14
2018-08-17 15:30:00;217.73;217.73;217.08;217.105
2018-08-17 15:40:00;217.46;217.94;217.46;217.755
2018-08-17 15:50:00;217.61;217.82;217.38;217.445
2018-08-20 09:30:00;218.97;219.17;217.39;218.0688
2018-08-20 09:40:00;218.63;218.95;218.206;218.92
2018-08-20 09:50:00;217.45;218.61;217.1438;218.61
2018-08-20 10:00:00;217.72;218.011;217.37;217.42
2018-08-20 10:10:00;217.03;217.7569;216.7851;217.74599999999998
2018-08-20 10:20:00;216.53;217.02;216.44;217.02
2018-08-20 10:30:00;216.44;216.72;216.16;216.5101
2018-08-20 10:40:00;216.17;216.4;215.92;216.39
2018-08-20 10:50:00;215.85;216.43;215.74;216.14
2018-08-20 11:00:00;215.6711;215.9169;215.541;215.83
2018-08-20 11:10:00;215.395;215.77;215.22;215.68
2018-08-20 11:20:00;215.49;215.49;215.11;215.41
2018-08-20 11:30:00;215.58;215.84;215.4363;215.5
2018-08-20 11:40:00;215.39;215.76;215.25;215.56
2018-08-20 11:50:00;215.3;215.82;215.2697;215.41
2018-08-20 12:00:00;215.21;215.3204;215.12;215.3031
2018-08-20 12:10:00;215.63;215.67;215.19;215.22
2018-08-20 12:20:00;215.86;215.91;215.54;215.63
2018-08-20 12:30:00;215.8647;215.975;215.72;215.8639
2018-08-20 12:40:00;215.7338;215.9;215.69099999999997;215.88
2018-08-20 12:50:00;216.1997;216.2;215.64;215.7
2018-08-20 13:00:00;216.7599;216.79;216.21;216.21
2018-08-20 13:10:00;216.17;216.755;216.09400000000002;216.755
2018-08-20 13:20:00;216.3122;216.4;216.1655;216.18
2018-08-20 13:30:00;216.49;216.68;216.27;216.2815
2018-08-20 13:40:00;216.26;216.4962;216.1901;216.48
2018-08-20 13:50:00;216.33;216.37;216.2;216.24900000000002
2018-08-20 14:00:00;216.14;216.41;216.06;216.29
2018-08-20 14:10:00;216.07;216.24;216.0;216.15
2018-08-20 14:20:00;216.1146;216.15;215.88;216.09
2018-08-20 14:30:00;215.76;216.12;215.74;216.11
2018-08-20 14:40:00;215.51;215.73;215.25;215.73
2018-08-20 14:50:00;215.62;215.68;215.435;215.5
2018-08-20 15:00:00;215.51;215.63;215.36;215.61
2018-08-20 15:10:00;215.48;215.7101;215.48;215.51
2018-08-20 15:20:00;215.437;215.50900000000001;215.41;215.48
2018-08-20 15:30:00;215.555;215.65;215.34;215.4
2018-08-20 15:40:00;215.5175;215.735;215.5;215.54
2018-08-20 15:50:00;215.4656;215.67;215.22;215.50099999999998
2018-08-21 09:30:00;216.06;216.8;215.925;216.675
2018-08-21 09:40:00;215.83;216.23;215.69;216.06
2018-08-21 09:50:00;215.53;216.01;215.39;215.8556
2018-08-21 10:00:00;214.55;215.68;214.54;215.56
2018-08-21 10:10:00;214.73;214.85;214.04;214.57
2018-08-21 10:20:00;214.89;215.15;214.63;214.75
2018-08-21 10:30:00;215.275;215.34;214.7;214.8846
2018-08-21 10:40:00;214.94;215.36;214.865;215.31
2018-08-21 10:50:00;214.7;214.945;214.5897;214.94
2018-08-21 11:00:00;214.74;214.7783;214.56;214.71
2018-08-21 11:10:00;215.02;215.09;214.62;214.7365
2018-08-21 11:20:00;215.5985;215.8;214.96;215.0119
2018-08-21 11:30:00;216.07;216.1549;215.55;215.59
2018-08-21 11:40:00;216.0;216.17;215.9;216.09
2018-08-21 11:50:00;216.43;216.57;215.94;216.0
2018-08-21 12:00:00;216.73;216.83;216.43;216.45
2018-08-21 12:10:00;216.28;216.73;216.27;216.73
2018-08-21 12:20:00;216.52;216.52;216.13;216.3
2018-08-21 12:30:00;216.45;216.61;216.39;216.54
2018-08-21 12:40:00;216.69;216.73;216.4144;216.47
2018-08-21 12:50:00;216.82;217.0;216.7;216.7
